
question,option1,option2,option3,option4,correct_answer_index
स्वदेशी आंदोलन की शुरुआत कब हुई?,1905,1919,1921,1930,1
किसने ‘गीता रहस्य’ की रचना की?,महात्मा गांधी,बाल गंगाधर तिलक,दादाभाई नौरोजी,गोपाल कृष्ण गोखले,2
‘रामकृष्ण मिशन’ के संस्थापक कौन थे?,राजा राममोहन राय,स्वामी विवेकानंद,महर्षि अरविंद,ईश्वर चंद्र विद्यासागर,2
चंद्रगुप्त मौर्य का गुरु कौन था?,आर्यभट्ट,कौटिल्य,भास्कराचार्य,पाणिनि,2
अंग्रेजों ने राजधानी कलकत्ता से दिल्ली कब स्थानांतरित की?,1905,1911,1919,1927,2
भारत का पहला अखिल भारतीय किसान सम्मेलन किसने बुलाया?,स्वामी सहजानंद सरस्वती,महात्मा गांधी,सरदार पटेल,राजेंद्र प्रसाद,1
झाँसी की रानी लक्ष्मीबाई का जन्म कहाँ हुआ था?,झाँसी,वाराणसी,कानपुर,सिंहस्थान,2
‘अल हिलाल’ पत्रिका के संपादक कौन थे?,बाल गंगाधर तिलक,अब्दुल कलाम आजाद,महात्मा गांधी,लाला लाजपत राय,2
सिंधु घाटी सभ्यता में ‘ग्रेट बाथ’ कहाँ मिला?,हड़प्पा,मोहनजोदाड़ो,लोथल,धोलावीरा,2
गांधी-इरविन समझौता कब हुआ?,1928,1931,1935,1942,2
भारत में संविधान लागू कब हुआ?,15 अगस्त 1947,26 जनवरी 1950,2 अक्टूबर 1950,26 नवंबर 1949,2
‘तुगलक वंश’ की स्थापना किसने की?,गयासुद्दीन तुगलक,मुहम्मद बिन तुगलक,फिरोज शाह तुगलक,खिज्र खान,1
‘काबुलीवाला’ कहानी के लेखक कौन हैं?,मुंशी प्रेमचंद,रवींद्रनाथ टैगोर,सुभद्राकुमारी चौहान,जयशंकर प्रसाद,2
‘काकोरी कांड’ किस वर्ष हुआ?,1922,1925,1928,1930,2
किसे ‘भारत का बिस्मार्क’ कहा जाता है?,बाल गंगाधर तिलक,राजा राममोहन राय,सरदार पटेल,महात्मा गांधी,3
गुरु नानक का जन्म किस स्थान पर हुआ?,अमृतसर,ननकाना साहिब,पटना,आनंदपुर,2
‘अमृतसर संधि’ कब हुई?,1805,1809,1815,1820,2
किस शासक ने ‘अलाहाबाद प्रार्थना समाज’ की स्थापना की?,महादेव गोविंद रानाडे,गोपाल कृष्ण गोखले,राजा राममोहन राय,स्वामी दयानंद,1
लाल, बाल, पाल किस आंदोलन से जुड़े थे?,स्वदेशी आंदोलन,भारत छोड़ो आंदोलन,नमक सत्याग्रह,असहयोग आंदोलन,1
विक्रम संवत की शुरुआत किसने की?,अशोक,चंद्रगुप्त,विक्रमादित्य,हर्षवर्धन,3
